repo,pr_number,titulo,descricao,categoria
accumulo,2834,Provide getProperties method on Configuration that does not filter,"The getProperties method which takes a filter is inefficient when
you know that you want to get all properties or you know the names
of the properties. Provide a mechanism to get the properties w/out
using a filter",REF
accumulo,2397,Add consistency checks for lastFlushID and lastCompactID,"Fixes #2153
This PR addresses the following:

Creates a consistency check for getFlushID & lastFlushID
Creates a consistency check for getCompactionID & lastCompactID
Removes TODO relating to change
Fixes a minor misspelling in the area of the original change

In my changes I have created two try / catch blocks surrounding the getFlushID and getCompactionID assignments. One for each consistency check. I was not sure whether the NoNodeException should be thrown, logged or just printed. If anyone has any input regarding that, I would appreciate it.",BUG
accumulo,3028,fixes #2667 wait for metadata write in tablet close,,BUG
accumulo,1706,Related #1664. Allow Candidate batch size to be user configurable,"This is in relation to #1664. This allows the batch size for garbage collecting implemented in #1650 to be configurable.
After a discussion with @ctubbsii, I determined that I couldn't fully test out the upper limits (batch sizes of 64MB for example). With that in mind, I went ahead and made it configurable but kept it at its current default batch size.",REF
accumulo,2084,Add retry counter for log recovery with MinC,"Potential fix for #2035.
The issue with #2035 occurs at 
  
    
      accumulo/server/tserver/src/main/java/org/apache/accumulo/tserver/AssignmentHandler.java
    
    
         Line 175
      in
      30ce59f
    
  
  
    

        
          
           && !tablet.minorCompactNow(MinorCompactionReason.RECOVERY)) { 
        
    
  


If an iterator is misconfigured, this line will never complete and hang in MinorCompactor.java. This potential fix adds a retry counter (only a small amount of retries for testing purposes), solely used when the reason for the minor compaction is recovery. The exception thrown is just a placeholder for now.
The result from this change is the exception thrown allows the assignments to get rescheduled so other tablets can be loaded in.",BUG
accumulo,2224,Versioned Properties - refactored to address PR comments,"This replaces PR #2194 Refactored to address PR comments
This the first step in moving towards a refactored ZooKeeper property storage. Intended to replace using individual nodes in ZooKeeper to save properties to a versioned group that is stored on a ZooKeeper single node. The PR contains the changes that provide serialization / deserialization of the properties along with maintaining versioning information.
Designed to allow evolution of the storage scheme.
Provides a header that maintains schema version, data version, and timestamp.
Optional compression of the byte storage array.",REF
accumulo,1424, Fix check for Standalone properties file. Fixes #1168 ,Revert the revert for #1189 and cleanup the check to only throw error when appropriate.,BUG
helix,1870,Improve Purge Offline Instances API,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

Fixes #1869
Description

 Here are some details about my PR, including screenshots of any UI changes:

The purgeOfflineInstances API is used to clean up the instance metadata in ZK that is left by offline instances. The API is only used during special use cases where a large amount of instance metadata is left uncleaned; instance metadata should usually be cleaned up manually.
As a cleanup API, purgeOfflineInstances has limitations: it cannot handle the case when participantHistory is missing. This is because purgeOfflineInstances uses the same underlying code as dropInstance. That means after one round of purging, race conditions could write unwanted data (such as messages) back to ZK, and they will never be cleaned up because participantHistory is no longer present.
This PR improves the API such that it will also purge any incomplete instance data, such as instance path without InstanceConfig or ParticipantHistory.
Tests

 The following tests are written for this issue:

Modified TestZkHelixAdmin.testPurgeOfflineInstances

The following is the result of the ""mvn test"" command on the appropriate module:

[INFO] Tests run: 1283, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 5,709.742 s - in TestSuite
[INFO] 
[INFO] Results:
[INFO] 
[INFO] Tests run: 1283, Failures: 0, Errors: 0, Skipped: 0
[INFO] 
[INFO] 
[INFO] --- jacoco-maven-plugin:0.8.6:report (generate-code-coverage-report) @ helix-core ---
[INFO] Loading execution data file /home/nesun/helix/helix-core/target/jacoco.exec
[INFO] Analyzed bundle 'Apache Helix :: Core' with 909 classes
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  01:35 h
[INFO] Finished at: 2021-09-10T19:14:54-07:00
[INFO] ------------------------------------------------------------------------

Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REF
accumulo,2214,Remove continue point from Garbage Collector,"Updated Garbage Collection code to no longer use a continue point when processing deletion candidates. The GC  now uses an iterator that lasts during the lifetime of a GC cycle.
The GarbageCollectionTest was updated to work with the update, as was the GC integration test.
Closes #1351",REF
accumulo,2377,Remove useless null checks/assignments,,REF
helix,2318,Fix rebalancer failure counter in async scenario,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

Fixes #2062
Description

 Here are some details about my PR, including screenshots of any UI changes:

Async processes cannot propagate exceptions upwards, so we need to explicitly increment the failure counters during exception handling in the submission block. Since partial rebalance is turning into async, this PR fixes both the old problem (global rebalance missing rebalance failure counter) and the new problem.
Tests

The following is the result of the ""mvn test"" command on the appropriate module:

(If CI test fails due to known issue, please specify the issue and test PR locally. Then copy & paste the result of ""mvn test"" to here.)
Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",BUG
httpcomponents-client,287,Fix the issues causing Kerberos/SPNego to fail,"At the beginning of the negotiate, no token is defined in ""WWW-Authenticate: Negotiate"".
Kerberos expects HTTP.",BUG
accumulo,3773,Remove unneeded chop compaction and split code,"This is a follow on to #3761 to clean up code that is no longer necessary. No-chop merge removes the need for chop compactions and splits are no longer necessary to be called from the manager anymore during deletions as files are instead fenced.
This closes #3769",REF
helix,2680,Implement the cross-zone-based stoppable check,"Issues

 My PR addresses the following Helix issues and references them in the PR description:
#2655

Description

 Here are some details about my PR, including screenshots of any UI changes:
Implement the cross-zone-based stoppable check.
Add to_be_stopped_instances parameter in the API payload.
Modify the checks that will be affected by the to_be_stopped_instances. There are two checks that will be affected:

siblingNodesActiveReplicaCheck
perPartitionHealthCheck



Tests

 The following tests are written for this issue:
 mvn test -Dtest=TestInstancesAccessor,TestMaintenanceManagementService,TestInstanceValidationUtilInRest,TestPerInstanceAccessor -pl helix-rest && mvn test -Dtest=TestInstanceValidationUtil -pl helix-core

[INFO] Tests run: 45, Failures: 0, Errors: 0, Skipped: 0
[INFO] 
[INFO] 
[INFO] --- jacoco:0.8.6:report (generate-code-coverage-report) @ helix-rest ---
[INFO] Loading execution data file /Users/xiaxgao/IdeaProjects/helix_ps/helix-rest/target/jacoco.exec
[INFO] Analyzed bundle 'Apache Helix :: Restful Interface' with 94 classes
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  01:13 min
[INFO] Finished at: 2023-10-27T00:53:55-07:00
[INFO] ------------------------------------------------------------------------


[INFO] Tests run: 24, Failures: 0, Errors: 0, Skipped: 0
[INFO] 
[INFO] 
[INFO] --- jacoco:0.8.6:report (generate-code-coverage-report) @ helix-core ---
[INFO] Loading execution data file /Users/xiaxgao/IdeaProjects/helix_ps/helix-core/target/jacoco.exec
[INFO] Analyzed bundle 'Apache Helix :: Core' with 947 classes
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  9.000 s
[INFO] Finished at: 2023-10-24T14:11:11-07:00
[INFO] ------------------------------------------------------------------------


(List the names of added unit/integration tests)

The following is the result of the ""mvn test"" command on the appropriate module:

(If CI test fails due to known issue, please specify the issue and test PR locally. Then copy & paste the result of ""mvn test"" to here.)
Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REQ
accumulo,4059,Make bulk import wait for in-progress bulk imports,closes #4001 and adds a wait step for the bulk import to be delayed until the bulk import files are different.,BUG
accumulo,2643,Separated tablet scan functions from TabletClientService into a new Thrift service,related to #2640,REF
helix,1550,Controller-side Task Current State Migration,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

Fixes #1549 (Partially)
Description

 Here are some details about my PR, including screenshots of any UI changes:

To address excessive ZooKeeper reads caused by task framework CurrentState updates, it is proposed to move task framework CurrentStates to their separate path.
The change is divided to multiple phases. This is the first phase, where the main focus of the changes are on the controller side. These changes should be backward compatible, and should not break anything even without further changes on participant sides
Tests

 The following tests are written for this issue:

(List the names of added unit/integration tests)

 The following is the result of the ""mvn test"" command on the appropriate module:

[INFO] Tests run: 1250, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 5,108.977 s - in TestSuite
[INFO] 
[INFO] Results:
[INFO] 
[INFO] Tests run: 1250, Failures: 0, Errors: 0, Skipped: 0
[INFO] 
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  01:25 h
[INFO] Finished at: 2020-12-01T12:14:17-08:00
[INFO] ------------------------------------------------------------------------

Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REF
accumulo,1934,Stop recovery if tablet is being deleted,,BUG
accumulo,2876,Fix AccumuloConfiguration.get(String) to get Property by key,"Prior commit attempted to create a Property by enum value using the key.
Fixed this to call Property.getPropertyByKey instead.",BUG
accumulo,4007,Add Volume replacement test for logs,"VolumeUtil.switchVolumes is used to perform
volume replacement on LogEntry objects. However,
there was no test for it.
Related to #4004",REF
helix,2153,Add AclRegister interfaces and ClusterAccessor integration,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

Fixes #2152
Description

 Here are some details about my PR, including screenshots of any UI changes:

This PR introduces the AclRegister interface, an interface that can be implemented with developers' choices of mechanisms on how ACL is created and registered. The implementation is then registered to the rest server, and it's called when clusters are created.
Tests

 The following tests are written for this issue:

TestAclRegister


The following is the result of the ""mvn test"" command on the appropriate module:

(If CI test fails due to known issue, please specify the issue and test PR locally. Then copy & paste the result of ""mvn test"" to here.)
Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

Rerun failed test in CI:
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 62.693 s - in org.apache.helix.integration.task.TestMaxNumberOfAttemptsMasterSwitch
[INFO]
[INFO] Results:
[INFO]
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REQ
accumulo,3476,Improve javadocs for the TabletFile interface,This improves the javadocs a bit for the new TableFile tInterface. I'm not the best at wording/descriptions so if anyone else has any ideas for improving the wording feel free to suggest changes.,REF
helix,1611,Eliminate redundant job context writes,"Issues

 My PR addresses the following Helix issues and references them in the PR description:
Fixes #1608

Description

 Here are some details about my PR, including screenshots of any UI changes:
In this PR, the job context will only be written to ZK if it has been modified. Otherwise, there is no need to update the context information in the ZK.

Tests


 The following tests are written for this issue:
TestContextRedundantUpdates. testRunningJobContextNoUpdate
TestContextRedundantUpdates. testCompletedJobContextNoUpdate


 The following is the result of the ""mvn test"" command on the appropriate module:
Helix-core:


[INFO] Results:
[INFO]
[ERROR] Failures:
[ERROR] org.apache.helix.integration.rebalancer.CrushRebalancers.TestCrushAutoRebalanceNonRack.testLackEnoughInstances(org.apache.helix.integration.rebalancer.CrushRebalancers.TestCrushAutoRebalanceNonRack)
[ERROR]   Run 1: TestCrushAutoRebalanceNonRack.testLackEnoughInstances:281 » Helix Failed to dr...
[ERROR]   Run 2: TestCrushAutoRebalanceNonRack.testLackEnoughInstances:273 » Helix Cluster CLUS...
[INFO]
[INFO]
[ERROR] Tests run: 1257, Failures: 1, Errors: 0, Skipped: 0
[INFO]
[INFO] ------------------------------------------------------------------------
[INFO] BUILD FAILURE
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  01:30 h
[INFO] Finished at: 2021-01-12T22:31:26-08:00
[INFO] ------------------------------------------------------------------------

The failed test passed when I run it individually.
mvn test -Dtest=""TestCrushAutoRebalanceNonRack""
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 32.54 s - in org.apache.helix.integration.rebalancer.CrushRebalancers.TestCrushAutoRebalanceNonRack
[INFO]
[INFO] Results:
[INFO]
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0
[INFO]
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  38.523 s
[INFO] Finished at: 2021-01-13T09:25:26-08:00
[INFO] ------------------------------------------------------------------------

Helix-rest:
[INFO] Tests run: 171, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 104.468 s - in TestSuite
[INFO]
[INFO] Results:
[INFO]
[INFO] Tests run: 171, Failures: 0, Errors: 0, Skipped: 0
[INFO]
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  01:50 min
[INFO] Finished at: 2021-01-13T09:28:57-08:00
[INFO] ------------------------------------------------------------------------

Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REF
accumulo,2225,Update Upgrader interface comments to include expected system state.,"Capture discussion on PR #2185 to update javadoc comments.
Doc update only - contains no code changes.",REF
struts,867,WW-5391 Add interface for VelocityManager extension point,"WW-5391
Allows applications to provide a completely custom VelocityManager",REQ
accumulo,3843,improves ComprehensiveIT and adjust sunny ITs,"This change adds a new security test to Comprehensive IT and moves some test from ReadWriteIT into comprehensive IT.  Each test in ReadWriteIT spins up a mini cluster, which takes a lot of time for really simple test.  Also remove the sunny tag from shell ITs as ComprehensiveIT now covers most of what thost test were covering, but using public API instead of shell.",REF
accumulo,3620,add feedback to zoo-prop-editor,"Updated zoo-prop-editor to provide feedback using log statements and improved exception messages as mentioned in PR #3445

adds log statements showing success on set
improved exception messages.
command exit with -1 on errors.",REF
accumulo,3960,Wire up majc queued and running metrics in Manager/CompactionCoordinator,Fixes #3619,REF
wicket,708,WICKET-7087: AjaxLazyLoadPanelTester not available in 10.0.0-M2,"Introduce wicket-extensions-tester module that currently provides only AjaxLazyLoadPanelTester
Add all **-tester modules to wicket-common-tests for better OSGi compatibility.",REF
commons-lang,965,Remove unnecessary statement in DurationFormatUtils,We don't need that conditions. Its always false and will never reach it.  And just because in the line 192 we assigns tmp to duration.,REF
accumulo,2297,Rework GC rest code in Monitor,"Make the GC rest code in Monitor return one list
Create GarbageCollectorStats object to replace GarbageCollectorCycle
Drop unused rest endpoints
Make GC page use datatables to display data
Closes #2285",REF
helix,2653,Fix partitionAssignment API failing due to NPE when no resource config,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

The PartitionAssignment API fails for waged clusters where a resource does not have a respective resource config defined for it in ZK.
This is the error that is shown to users:
{
  ""error"" : ""Failed to compute partition assignment: org.apache.helix.HelixException: getIdealAssignmentForWagedFullAuto(): Calculation failed: Failed to compute BestPossibleState!""
}

This is the error that is found in helix-rest logs (truncated)
2023/10/11 03:20:59.336 ERROR [HelixUtil] [qtp1938380262-5394685] [helix-rest] [] getIdealAssignmentForWagedFullAuto(): Failed to compute ResourceAssignments!
java.lang.NullPointerException: null
at java.util.stream.Collectors.lambda$uniqKeysMapAccumulator$1(Collectors.java:177) ~[?:?]
at java.util.stream.ReduceOps$3ReducingSink.accept(ReduceOps.java:169) ~[?:?]
at java.util.ArrayList$ArrayListSpliterator.forEachRemaining(ArrayList.java:1655) ~[?:?]
at java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:484) ~[?:?]
at java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:474) ~[?:?]
at java.util.stream.ReduceOps$ReduceOp.evaluateSequential(ReduceOps.java:913) ~[?:?]
at java.util.stream.AbstractPipeline.evaluate(AbstractPipeline.java:234) ~[?:?]
at java.util.stream.ReferencePipeline.collect(ReferencePipeline.java:578) ~[?:?]
at org.apache.helix.util.HelixUtil.getAssignmentForWagedFullAutoImpl(HelixUtil.java:318) ~[helix-core-1.1.1-dev-202303311728.jar:1.1.1-dev-202303311728]
at org.apache.helix.util.HelixUtil.getTargetAssignmentForWagedFullAuto(HelixUtil.java:219) ~[helix-core-1.1.1-dev-202303311728.jar:1.1.1-dev-202303311728]

Description

 Here are some details about my PR, including screenshots of any UI changes:

partitionAssignment API fails for clusters where resource configs aren't set due to NPE. This NPE occurs because getResourceConfig() will return null if the resource config does not exist, which is then added into the wagedResourceConfigs list. The below code is where the NPE occurs as one of the items in the list is null.
      dataProvider.setResourceConfigMap(resourceConfigs.stream()
          .collect(Collectors.toMap(ResourceConfig::getResourceName, Function.identity())));

Tests


 The following tests are written for this issue:
No new unit tests. But I did test this by deploying helix-rest locally to confirm that the partitionAssignment API worked after the change


The following is the result of the ""mvn test"" command on the appropriate module:


$mvn test -o -Dtest=TestResourceAssignmentOptimizerAccessor -pl=helix-rest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0
[INFO] 
[INFO] 
[INFO] --- jacoco:0.8.6:report (generate-code-coverage-report) @ helix-rest ---
[INFO] Loading execution data file /Users/gspencer/Desktop/git-repos/helix/helix-rest/target/jacoco.exec
[INFO] Analyzed bundle 'Apache Helix :: Restful Interface' with 92 classes
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  54.333 s
[INFO] Finished at: 2023-10-10T21:11:40-07:00
[INFO] ------------------------------------------------------------------------",BUG
accumulo,4120,Return non-merged view of System config,"Closes #4095

Added getSystemProperties() to InstanceOperations which functions similary to getTableProperties() and getNamespaceProperties() from TableOperations and NamespaceOperations.
Added its implementation in InstanceOperationsImpl.
Added a test getSystemPropertiesTest() to PropStoreConfigIT to test that the new method functions as intended.",REF
helix,1764,Remove unused field in ZKHelixDataAccessor - code clean with no logic change,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

#1755
Description

 Here are some details about my PR, including screenshots of any UI changes:

 _instanceType is never used in ZKHelixDataAccessor.
Tests

 The following tests are written for this issue:

NA

The following is the result of the ""mvn test"" command on the appropriate module:

(If CI test fails due to known issue, please specify the issue and test PR locally. Then copy & paste the result of ""mvn test"" to here.)
Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REF
zookeeper,1992,ZOOKEEPER-4682. Make FileSnap.deserialize a static method,"FileSnap.deserialize is effectively a static method. Change it to a static method so that we don't need to do some new FileSnap(null) hacks for workaround calling this method.
a.k.a. pay back some tech debt.",REF
accumulo,3987,Fixes compaction property log message bug,"Fixes an incorrect logging statement from appearing during normal startup conditions when processing service.<service>.planner compaction properties.
Bug was introduced in #3915.
Log message:
[main] WARN  org.apache.accumulo.core.util.compaction.CompactionServicesConfig [] - Ignoring compaction property default.planner as does not match the prefix used by the referenced planner definition

Steps to replicate bug:

git checkout main
Run any of the tests in CompactionServicesConfigTest
See the log message in the output.",BUG
helix,1834,Add TF Available Threads Metrics,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

Fixes #1833
Description

 Here are some details about my PR, including screenshots of any UI changes:

There is no existing metrics about Task Framework available threads. Certain production issues are caused by simple reasons such as out of threads, and in order to spot those reasons, developers have to spend time reading through logs.
With metrics for available threads, grouped by job types and aggregated on the cluster level, it's now easy for developers to find the thread availability of any cluster.
Tests

 The following tests are written for this issue:

TestClusterStatusMonitor.testRecordAvailableThreadsPerType

The following is the result of the ""mvn test"" command on the appropriate module:

(If CI test fails due to known issue, please specify the issue and test PR locally. Then copy & paste the result of ""mvn test"" to here.)
Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REQ
accumulo,3322,"Upgrader for version 4.0.0, set hosting goals on existing  tablets",Closes #3305,REQ
accumulo,2752,Improve use of Futures in Gatherer,"Attempt to fix #2696. This replaces the complicated mutation retry logic in Gatherer with a more structured/algebraic approach.
This new approach is recursive. Making the recursive call asynchronously should prevent a stack overflow (it does in the tests that I've run), since the task is submitted to the common ForkJoinPool rather than being called directly. This probably imposes a performance penalty, but I don't know how that compares to the cost of the I/O in this codepath.",REF
accumulo,1304,Fix #1281 Update TabletTime.maxMetatdataTime,"Replaced string processing with MetadataTime objects.
Renamed MetadataTime class method valueOf(char) to getType(char) .  The valueOf was confusing and didn't really make sense once it was pulled from the ENUM TimeType class.",REF
accumulo,3244,Alternate time wait calculation using nanos,"Reworks time delay calculation to use delta between nano time samples.
Follow-on to #3167",REF
helix,2549,MultiThreading Stress Test Lattice - Puppy Logic and Skeleton (Part 1),"Issues

 My PR addresses the following Helix issues and references them in the PR description:

#2237
Description

 Here are some details about my PR, including screenshots of any UI changes:

The skeleton / logic of the multithreading stress testing. We are using a concept called ""puppies"" to add in chaos to stress testing. Each puppy that extends the AbstractPuppy class represents one action (i.e. zk.CreatePuppy will create nodes in zk at specified path). The PuppyManager manages puppys by executing them and stopping them when indicated time limit is reached.
Tests

 The following tests are written for this issue:

n/a

The following is the result of the ""mvn test"" command on the appropriate module:

(If CI test fails due to known issue, please specify the issue and test PR locally. Then copy & paste the result of ""mvn test"" to here.)
Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REF
struts,323,Improve SecurityMemberAccess,"Move public member check to be the first performed
Remove final-s from methods to allow overriding
Split check for statics into two separate methods",REF
helix,2127,Add HelixEventHandlingUtil and use that util for cloud event - Add API,"Issues

 My PR addresses the following Helix issues and references them in the PR description:
#2133

Description

 Here are some details about my PR, including screenshots of any UI changes:

Previously helix event handling depends on batch enable/disable instance. We would like to move away the dependence on generic batch enable/disable instance and use a dedicated Util only for event handling use case.
Tests

 The following tests are written for this issue:

This change only adds PAI signature. Will add test in following PR for API impl.

The following is the result of the ""mvn test"" command on the appropriate module:

(If CI test fails due to known issue, please specify the issue and test PR locally. Then copy & paste the result of ""mvn test"" to here.)
Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REQ
